one	day
day	mary
mary	giraffe
giraffe	and
and	tom
tom	elephant
elephant	went
went	out
out	mary
mary	was
was	playing
playing	with
with	her
her	ball
ball	mary
mary	was
was	very
very	happy
happy	person
person	and
and	her
her	friend
friend	tom
tom	too
too	they
they	were
were	best
best	friends
friends	suddenly
suddenly	marys
marys	ball
ball	fell
fell	in
in	the
the	pool
pool	she
she	was
was	very
very	sad
sad	when
when	tom
tom	saw
saw	her
her	face
face	he
he	jumped
jumped	in
in	the
the	water
water	he
he	took
took	her
her	ball
ball	and
and	give
give	it
it	back
back	to
to	her
her	she
she	was
was	very
very	happy
happy	she
she	helped
helped	him
him	to
to	get
get	out
out	of
of	the
the	water
water	she
she	sad
sad	him
him	thank
thank	you
you	very
very	much
much	when
when	he
he	get
get	out
out	of
of	water
water	he
he	was
was	very
very	cold
cold	she
she	took
took	him
him	with
with	her
her	to
to	her
her	home
home	she
she	gave
gave	him
him	a
a	towel
towel	and
and	they
they	sat
sat	on
on	the
the	sofa
sofa	they
they	kissed
kissed	two
two	months
months	later
later	they
they	got
got	married
married	they
they	had
had	three
three	kids
kids	they
they	kids
kids	are
are	now
now	working
working	and
and	mary
mary	and
and	tom
tom	are
are	home
home	and
and	aren't
aren't	working
working	anywhere
anywhere	
